,Title,Genre,Premiere,Runtime,IMDB Score,Language
414,Amanda Knox,Documentary,2016-09-30,92,6.9,English
415,Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French
416,Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English
417,Cops and Robbers,Animation / Short,2020-12-28,7,6.9,English
418,I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96,6.9,English
419,Laerte-se,Documentary,2017-05-19,100,6.9,Portuguese
420,Mank,Biopic,2020-12-04,132,6.9,English
421,Our Souls at Night,Romance,2017-09-29,103,6.9,English
422,Outlaw King,Historical-epic,2018-11-09,121,6.9,English
423,Pagglait,Comedy-drama,2021-03-26,114,6.9,Hindi
424,ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57,6.9,English
425,Seeing Allred,Documentary,2018-02-09,95,6.9,English
426,Spelling the Dream,Documentary,2020-06-03,83,6.9,English
427,The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English
428,The Half of It,Romance,2020-05-01,105,6.9,English
429,The Highwaymen,Crime drama,2019-03-29,131,6.9,English
430,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,2019-05-23,30,6.9,English
431,The Meyerowitz Stories (New and Selected),Comedy-drama,2017-10-13,112,6.9,English
432,Feminists: What Were They Thinking?,Documentary,2018-10-12,86,7.0,English
433,Gaga: Five Foot Two,Documentary,2017-09-22,100,7.0,English
434,I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,2020-11-03,14,7.0,English
435,Kingdom of Us,Documentary,2017-10-13,109,7.0,English
436,"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7.0,Spanish
437,Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7.0,Spanish
438,Ma Rainey's Black Bottom,Drama,2020-12-18,94,7.0,English
439,Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,2020-12-18,31,7.0,English
440,Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99,7.0,English
441,Pele,Documentary,2021-02-23,108,7.0,English
442,ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7.0,English
443,ReMastered: The Lion's Share,Documentary,2019-05-17,84,7.0,English
444,ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7.0,English
445,Resurface,Documentary,2017-09-01,27,7.0,English
446,Rocko's Modern Life: Static Cling,Animation / Comedy,2019-08-09,45,7.0,English
447,Rose Island,Comedy,2020-12-09,117,7.0,Italian
448,The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104,7.0,English
449,The Dirt,Biopic,2019-03-22,108,7.0,English
450,The Night Comes for Us,Action-thriller,2018-10-19,121,7.0,Indonesian
451,13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,2017-01-26,36,7.1,English
452,Angela's Christmas,Animation,2018-11-30,30,7.1,English
453,Angela's Christmas Wish,Animation,2020-12-01,47,7.1,English
454,Beats,Drama,2019-06-19,110,7.1,English
455,Circus of Books,Documentary,2020-04-22,92,7.1,English
456,Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English
457,Derren Brown: Sacrifice,Mentalism special,2018-10-19,49,7.1,English
458,El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish
459,End Game,Documentary,2018-05-04,40,7.1,English
460,Evelyn,Documentary,2019-09-10,96,7.1,English
461,Ferry,Crime drama,2021-05-14,106,7.1,Dutch
462,Grass Is Greener,Documentary,2019-04-20,97,7.1,English
463,Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish
464,Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78,7.1,English
465,Keith Richards: Under the Influence,Documentary,2015-09-18,81,7.1,English
466,Knock Down the House,Documentary,2019-05-01,87,7.1,English
467,Loudon Wainwright III: Surviving Twin,One-man show,2018-11-13,91,7.1,English
468,My Beautiful Broken Brain,Documentary,2016-03-18,91,7.1,English
469,One of Us,Documentary,2017-10-20,95,7.1,English
470,Pieces of a Woman,Drama,2021-01-07,126,7.1,English
471,"Ram Dass, Going Home",Documentary,2018-04-06,31,7.1,English
472,ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English
473,Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali
474,The Devil All the Time,Psychological thriller,2020-09-16,138,7.1,English
475,The Dig,Drama,2021-01-29,112,7.1,English
476,The Great Hack,Documentary,2019-07-24,114,7.1,English
477,The White Tiger,Drama,2021-01-22,125,7.1,English
478,To All the Boys I've Loved Before,Romantic comedy,2018-08-17,99,7.1,English
479,American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English
480,Audrie & Daisy,Documentary,2016-09-23,98,7.2,English
481,First They Killed My Father,Drama,2017-09-15,136,7.2,Khmer/English/French
482,Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English
483,Into the Inferno,Documentary,2016-10-28,107,7.2,English
484,LA Originals,Documentary,2020-04-10,92,7.2,English
485,Ladies First,Documentary,2018-03-08,39,7.2,English/Hindi
486,Love per Square Foot,Romantic comedy,2018-02-14,133,7.2,Hindi
487,Paddleton,Drama-Comedy,2019-02-22,89,7.2,English
488,Private Life,Drama,2018-10-05,124,7.2,English
489,Seventeen,Coming-of-age comedy-drama,2019-10-18,99,7.2,Spanish
490,Sometimes,Drama,2018-05-01,101,7.2,Tamil
491,Soni,Crime drama,2019-01-18,97,7.2,Hindi
492,The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English
493,The Disciple,Drama,2021-04-30,129,7.2,Marathi
494,The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese
495,The King,Historical drama,2019-11-01,140,7.2,English
496,The Road to El Camino: A Breaking Bad Movie,Making-of,2019-10-29,13,7.2,English
497,The Siege of Jadotville,War,2016-10-07,108,7.2,English
498,Zion ,Documentary,2018-08-10,11,7.2,English
499,Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English
500,El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121,7.3,English
501,Extremis,Documentary,2016-09-13,24,7.3,English
502,Father Soldier Son,Documentary,2020-07-17,100,7.3,English
503,Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English
504,I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish
505,Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96,7.3,Spanish/English
506,Octonauts & the Great Barrier Reef,Animation,2020-10-13,47,7.3,English
507,Okja,Action-adventure,2017-06-28,121,7.3,English/Korean
508,On My Skin,Crime drama,2018-09-12,100,7.3,Italian
509,Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi
510,ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish
511,ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English
512,Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic
513,Sitara: Let Girls Dream,Animation / Short,2020-03-08,15,7.3,English
514,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin
515,Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian
516,The Ballad of Buster Scruggs,Western,2018-11-16,132,7.3,English
517,The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105,7.3,English
518,The Fundamentals of Caring,Comedy-drama,2016-06-24,97,7.3,English
519,The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English
520,American Factory,Documentary,2019-08-21,110,7.4,English
521,Fire in Paradise,Documentary,2019-11-01,39,7.4,English
522,Long Shot,Documentary,2017-09-29,40,7.4,English
523,Miss Americana,Documentary,2020-01-31,85,7.4,English
524,Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi
525,Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87,7.4,English
526,Shirkers,Documentary,2018-10-26,97,7.4,English
527,The Black Godfather,Documentary,2019-06-07,118,7.4,English
528,The Irishman: In Conversation,Aftershow / Interview,2019-11-27,23,7.4,English
529,The Speed Cubers,Documentary,2020-07-29,40,7.4,English
530,They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English
531,Tig,Documentary,2015-07-17,80,7.4,English
532,"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,2017-11-22,108,7.5,English
533,Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean
534,City of Joy,Documentary,2018-09-07,74,7.5,English
535,Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English
536,Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English
537,Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71,7.5,English
538,Joan Didion: The Center Will Not Hold,Documentary,2017-10-27,98,7.5,English
539,John Mulaney & the Sack Lunch Bunch,Variety show,2019-12-24,70,7.5,English
540,Reversing Roe,Documentary,2018-09-13,99,7.5,English
541,The White Helmets,Documentary,2016-09-16,40,7.5,English
542,Athlete A,Documentary,2020-06-24,104,7.6,English
543,Ludo,Anthology/Dark comedy,2020-11-12,149,7.6,Hindi
544,Quincy,Documentary,2018-09-21,124,7.6,English
545,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English
546,Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English
547,The Bleeding Edge,Documentary,2018-07-27,100,7.6,English
548,The Social Dilemma,Documentary,2020-09-09,94,7.6,English
549,The Two Popes,Drama,2019-12-20,125,7.6,English
550,"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English
551,Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi
552,Anima,Musical / Short,2019-06-27,15,7.7,English
553,Beasts of No Nation,War drama,2015-10-16,136,7.7,English/Akan
554,Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English
555,Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English
556,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English
557,Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90,7.7,English
558,Road to Roma,Making-of,2020-02-11,72,7.7,Spanish
559,Roma,Drama,2018-12-14,135,7.7,Spanish
560,If Anything Happens I Love You,Animation / Short,2020-11-20,12,7.8,English
561,The Irishman,Crime drama,2019-11-27,209,7.8,English
562,The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English
563,A Secret Love,Documentary,2020-04-29,82,7.9,English
564,Icarus,Documentary,2017-08-04,120,7.9,English
565,Marriage Story,Drama,2019-12-06,136,7.9,English
566,The Ivory Game,Documentary,2016-11-04,112,7.9,English
567,Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English
568,Chasing Coral ,Documentary,2017-07-14,89,8.1,English
569,My Octopus Teacher,Documentary,2020-09-07,85,8.1,English
570,Rising Phoenix,Documentary,2020-08-26,106,8.1,English
571,13th,Documentary,2016-10-07,100,8.2,English
572,Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English
573,Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English
574,Seaspiracy,Documentary,2021-03-24,89,8.2,English
575,The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish
576,Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English
577,Dancing with the Birds,Documentary,2019-10-23,51,8.3,English
578,Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85,8.4,English
579,Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125,8.4,English
580,Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian
581,Springsteen on Broadway,One-man show,2018-12-16,153,8.5,English
582,Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese
583,David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English
