,Title,Genre,Premiere,Runtime,IMDB Score,Language
96,Despite Everything,Comedy,2019-05-03,78,5.4,Spanish
97,Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi
98,Freaks: You're One of Us,Supernatural drama,2020-09-02,92,5.4,German
99,"Game Over, Man!",Action/Comedy,2018-03-23,101,5.4,English
100,Guilty,Thriller,2020-03-06,119,5.4,Hindi
101,In the Tall Grass,Horror,2019-10-04,101,5.4,English
102,Madame Claude,Drama,2021-04-02,112,5.4,French
103,Naked,Comedy,2017-08-11,96,5.4,English
104,Outside the Wire,Action/Science fiction,2021-01-15,114,5.4,English
105,The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97,5.4,English
106,Under the Riccione Sun,Romantic teenage drama,2020-07-01,101,5.4,Italian
107,A Very Murray Christmas,Comedy / Musical,2015-12-04,56,5.5,English
108,Been So Long,Musical,2018-10-26,100,5.5,English
109,Dead Kids,Thriller,2019-12-01,94,5.5,Filipino
110,Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese
111,Ghosts of Sugar Land,Documentary,2019-10-16,21,5.5,English
112,House Arrest,Comedy,2019-11-15,104,5.5,Hindi
113,Kevin Hart's Guide to Black History,Variety show,2019-02-08,63,5.5,English
114,Love Wedding Repeat,Romantic comedy,2020-04-10,100,5.5,English
115,Mute,Science fiction/Mystery,2018-02-23,126,5.5,English
116,�l�t?r�,Crime drama,2020-10-02,106,5.5,English
117,Red Dot,Thriller,2021-02-11,86,5.5,Swedish
118,Ride or Die,Psychological thriller drama,2021-04-15,142,5.5,Japanese
119,Step Sisters,Comedy,2018-01-19,108,5.5,English
120,The Cloverfield Paradox,Science fiction,2018-02-04,102,5.5,English
121,The Knight Before Christmas,Romantic comedy,2019-11-21,92,5.5,English
122,The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83,5.5,English
123,The Package,Black comedy,2018-08-10,94,5.5,English
124,Unicorn Store,Comedy,2019-04-05,92,5.5,English
125,Wine Country,Comedy,2019-05-10,103,5.5,English
126,Bomb Scared,Black comedy,2017-10-12,89,5.6,Spanish/Basque
127,Brahman Naman,Comedy,2016-07-07,95,5.6,English
128,Double Dad,Comedy-drama,2021-01-15,103,5.6,Portuguese
129,Falling Inn Love,Romantic comedy,2019-08-29,97,5.6,English
130,Hold the Dark,Thriller,2018-09-28,125,5.6,English
131,"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English
132,One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish
133,Sarah Cooper: Everything's Fine,Variety show,2020-10-27,49,5.6,English
134,The Last Laugh,Comedy-drama,2019-01-11,98,5.6,English
135,The Last Paradiso,Romantic drama,2021-02-05,107,5.6,Italian
136,The Midnight Sky,Science fiction,2020-12-23,118,5.6,English
137,The Paramedic,Thriller,2020-09-16,94,5.6,Spanish
138,The Sleepover,Comedy,2020-08-21,103,5.6,English
139,Vampires vs. the Bronx,Horror comedy,2020-10-02,86,5.6,English
140,Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English
141,A Week Away,Christian musical,2021-03-26,97,5.7,English
142,Caught by a Wave,Romantic teen drama,2021-03-25,99,5.7,Italian
143,Christmas Inheritance,Romantic drama,2017-12-15,104,5.7,English
144,Dad Wanted,Family,2020-09-11,102,5.7,Spanish
145,El Camino Christmas,Dark comedy,2017-12-08,89,5.7,English
146,Eli,Horror,2019-10-18,98,5.7,English
147,Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi
148,Good Sam,Drama,2019-05-16,89,5.7,English
149,Lionheart,Comedy,2019-01-04,94,5.7,English
150,Little Evil,Comedy horror,2017-09-01,94,5.7,English
151,One Take,Documentary,2020-06-18,85,5.7,Thai
152,"Out of Many, One",Documentary,2018-12-12,34,5.7,English
153,Point Blank,Action,2019-07-12,86,5.7,English
154,Prime Time,Thriller,2021-04-14,91,5.7,Polish
155,The Do-Over,Action comedy,2016-05-27,108,5.7,English
156,The Holiday Calendar,Romantic comedy,2018-11-02,95,5.7,English
157,The Woman in the Window,Psychological thriller,2021-05-14,100,5.7,English
158,The Wrong Missy,Comedy,2020-05-13,90,5.7,English
159,Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English
160,Yes Day,Comedy,2021-03-12,86,5.7,English
161,15 August,Comedy-drama,2019-03-29,124,5.8,Marathi
162,A California Christmas,Romantic comedy,2020-12-14,107,5.8,English
163,A Christmas Prince,Romantic comedy,2017-11-17,92,5.8,English
164,All Day and a Night,Drama,2020-05-01,121,5.8,English
165,American Son,Drama,2019-11-01,90,5.8,English
166,Barry,Biopic,2016-12-16,104,5.8,English
167,Candy Jar,Comedy,2018-04-27,92,5.8,English
168,Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi
169,Class of '83,Drama,2020-08-21,98,5.8,Hindi
170,Extinction,Science fiction/Thriller,2018-07-27,95,5.8,English
171,Happy Anniversary,Romantic comedy,2018-03-30,78,5.8,English
172,I Am All Girls,Thriller,2021-05-14,107,5.8,English
173,Let It Snow,Romantic comedy,2019-11-08,92,5.8,English
174,Mascots,Mockumentary,2016-10-13,95,5.8,English
175,Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English
176,Rajma Chawal,Comedy-drama,2018-11-30,118,5.8,Hindi
177,Rich in Love,Romantic comedy,2020-04-30,105,5.8,Portuguese
178,Rising High,Satire,2020-04-17,94,5.8,German
179,Rodney King,One-man show,2017-04-28,52,5.8,English
180,Sierra Burgess Is a Loser,Romantic comedy-drama,2018-09-07,105,5.8,English
181,Small Crimes,Dark comedy,2017-04-28,95,5.8,English
182,Special Correspondents,Satire,2016-04-29,100,5.8,English
183,TAU,Science fiction/Thriller,2018-06-29,97,5.8,English
184,The After Party,Comedy,2018-08-24,89,5.8,English
185,The Babysitter: Killer Queen,Comedy/Horror,2020-09-10,102,5.8,English
186,The Claus Family,Fantasy,2020-12-07,96,5.8,Dutch
187,The Kissing Booth 2,Romantic comedy,2020-07-24,131,5.8,English
188,The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English
189,What We Wanted,Drama,2020-11-11,93,5.8,German
190,You've Got This,Romantic comedy,2020-10-02,111,5.8,Spanish
191,6 Balloons,Drama,2018-04-06,75,5.9,English
192,A Fall from Grace,Thriller,2020-01-17,120,5.9,English
193,Amateur,Sports-drama,2018-04-06,96,5.9,English
194,Army of the Dead,Zombie/Heist,2021-05-21,148,5.9,English
195,Cam,Psychological horror,2018-11-16,94,5.9,English
196,Earthquake Bird,Mystery,2019-11-15,107,5.9,English
197,"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32,5.9,English
198,Horse Girl,Drama,2020-02-07,104,5.9,English
199,Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English
200,Maska,Romantic comedy,2020-03-27,111,5.9,Hindi
201,The Decline,Thriller,2020-03-27,83,5.9,French
202,The Minimalists: Less Is Now,Documentary,2021-01-01,53,5.9,English
203,The Polka King,Comedy-drama,2018-01-12,95,5.9,English
204,The Prom,Musical,2020-12-11,132,5.9,English
205,True Memoirs of an International Assassin,Action comedy,2016-11-11,98,5.9,English
206,Ultras,Sports film,2020-03-20,108,5.9,Italian
207,Come Sunday,Biopic,2018-04-13,106,6.0,English
208,Forgive Us Our Debts,Drama,2018-05-04,104,6.0,Italian
209,iBoy,Science fiction/Thriller,2017-01-27,90,6.0,English
210,Lovefucked,Drama,2019-08-09,106,6.0,Hindi
211,Juanita,Drama,2019-03-08,90,6.0,English
212,Murder Mystery,Comedy mystery,2019-06-14,97,6.0,English
213,Project Power,Superhero,2020-08-14,113,6.0,English
